time,hvac_reaAhu_THeaCoiSup_y
1121130,319.1703826767446
1121160,319.1723660764291
1121190,319.1743494490568
1121220,319.1763327946279
1121250,319.1783161131429
1121280,319.18029940460195
1121310,319.1822826690056
1121340,319.18426590635414
1121370,319.18624911664784
1121400,319.1882322998872
1121430,319.19021544920093
1121460,319.1921985715813
1121490,319.1941816636432
1121520,319.1961647320138
1121550,319.1981477774791
1121580,319.2001307972698
1121610,319.20211379087584
1121640,319.2040967577318
1121670,319.2060796975707
1121700,319.2080626103259
1121730,319.21004549600354
1121760,319.21202835461986
1121790,319.21401118618434
1121820,319.21599399070027
1121850,319.2179767681681
1121880,319.2199595185879
1121910,319.2219422419597
1121940,319.2239249382838
1121970,319.2259076075605
1122000,319.22789024979016
1122030,319.2298728573787
1122060,319.2318554388639
1122090,319.2338379987334
1122120,319.2358205260175
1122150,319.23780302981106
1122180,319.2397855043513
1122210,319.2417679512949
1122240,319.24375037601624
1122270,319.24573276803835
1122300,319.24771513646175
1122330,319.2496974760705
1122360,319.25167978962065
1122390,319.2536620795389
1122420,319.2556443431245
1122450,319.25762657969176
1122480,319.2596087892199
1122510,319.26159097170773
1122540,319.26357312715544
1122570,319.2655552555632
1122600,319.26753735693137
1122630,319.26951942629495
1122660,319.2715014712525
1122690,319.27348349108513
1122720,319.2754654842834
1122750,319.2774474504577
1122780,319.2794293895958
1122810,319.28141130169706
1122840,319.28339318187795
1122870,319.2853750354003
1122900,319.2873568648908
1122930,319.2893386683471
1122960,319.29132044510203
1122990,319.2933021949334
1123020,319.29528391776745
1123050,319.29726561357967
1123080,319.2992472823624
1123110,319.3012289241131
1123140,319.30321053883125
1123170,319.305192126517
1123200,319.3071736871706
1123230,319.3091552160221
1123260,319.3111367200289
1123290,319.3131181990875
1123320,319.31509965144903
1123350,319.31708107689144
1123380,319.3190624753409
1123410,319.3210438467731
1123440,319.3230251911801
1123470,319.3250065085595
1123500,319.32698779891086
1123530,319.32896906223425
1123560,319.3309502985298
1123590,319.3329315077979
1123620,319.334912690039
1123650,319.3368938452534
1123680,319.3388749734415
1123710,319.34085607460355
1123740,319.34283714874005
1123770,319.3448181958513
1123800,319.3467992159376
1123830,319.34878020223744
1123860,319.35076116097446
1123890,319.35274209548464
1123920,319.35472300597417
1123950,319.3567038904416
1123980,319.35868474822007
1124010,319.36066557908737
1124040,319.3626463829699
1124070,319.36462715984317
1124100,319.3666079096995
1124130,319.3685886325363
